Name,BuildingId,DisplayName,Category,BuildingActorClass,ConstructionSiteActorClass,BuildWorkId,Footprint,ZOffset,ThumbnailIcon,Description,RequiredResearchIds,AutoWorks,WorkSiteTags,StorageWeightCapacity,StorageVolumeCapacity,PageCapacity,CaptiveCapacity
DetentionRoom,DetentionRoom,Detention Room,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_DetentionRoom,"(X=200,Y=200)",0,,Test detention room,(),(),(),0,0,0,2
Orchard,Orchard,Orchard,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Orchard,"(X=200,Y=200)",0,,Test orchard,(),(),(),0,0,0,0
Workbench,Workbench,Workbench,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Workbench,"(X=100,Y=200)",0,,Test workbench,(),(),(Workbench),0,0,0,0
Quarry,Quarry,Quarry,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Quarry,"(X=500,Y=500)",0,,Produces stone indefinitely while Pages are assigned.,(),"((WorkId=""Mine_Stone"",Priority=5,InitialCount=1,bRepeat=true))",(Quarrying),0,0,0,0
Inn,Inn,Inn,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Inn,"(X=500,Y=500)",0,,Test inn,(),(),(),0,0,4,0
EP_Altar,EP_Altar,EP Altar,Special,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_EP_Altar,"(X=100,Y=100)",0,,Absorbs stored portal shards and converts their components into settlement attribute reserves.,(),(),(Altar),0,0,0,0
Small_Storage,Small_Storage,Small Storage,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Small_Storage,"(X=100,Y=100)",0,,Test small storage,(),(),(),500,1000,0,0
SoilSifter,SoilSifter,Soil Sifter,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_SoilSifter,"(X=200,Y=200)",0,,Separates usable soil from rough excavation material.,(SoilProcessing),(),(SoilProcessing),0,0,0,0
ClayShapingBench,ClayShapingBench,Clay Shaping Bench,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_ClayShapingBench,"(X=200,Y=100)",0,,Shapes soil-derived clay into early construction materials.,(Claycraft),(),(ClayShaping),0,0,0,0
EarthenStorehouse,EarthenStorehouse,Earthen Storehouse,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_EarthenStorehouse,"(X=300,Y=300)",0,,A small dry storehouse built from compacted soil.,(),(),(),200,400,0,0
EarthenDormitory,EarthenDormitory,Earthen Dormitory,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_EarthenDormitory,"(X=400,Y=300)",0,,Primitive lodging that supports two Pages.,(),(),(),0,0,2,0
EarthenHoldingCell,EarthenHoldingCell,Earthen Holding Cell,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_EarthenHoldingCell,"(X=200,Y=200)",0,,A temporary enclosed space for one captive.,(),(),(),0,0,0,1
TabletDesk,TabletDesk,Tablet Desk,Research,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_TabletDesk,"(X=200,Y=100)",0,,A basic desk for recording and conducting early research.,(),(),(Research),0,0,0,0
EarthenWorkshop,EarthenWorkshop,Earthen Workshop,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_EarthenWorkshop,"(X=300,Y=200)",0,,A primitive workshop for early tools and building supplies.,(),(),(Workbench),0,0,0,0
MudWall,MudWall,Mud Wall,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_MudWall,"(X=200,Y=100)",0,,A low earthen wall that delays hostile intruders.,(),(),(),0,0,0,0
Lumberyard,Lumberyard,Lumberyard,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Lumberyard,"(X=500,Y=500)",0,,Produces wood indefinitely while Pages are assigned.,(Woodworking),"((WorkId=""Mine_Wood"",Priority=5,InitialCount=1,bRepeat=true))",(Lumbering),0,0,0,0
Sawmill,Sawmill,Sawmill,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Sawmill,"(X=400,Y=300)",0,,Processes wood into planks and refined timber.,(Woodworking),(),(Carpentry),0,0,0,0
Kiln,Kiln,Kiln,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Kiln,"(X=300,Y=300)",0,,Fires clay goods and processes charcoal or lime.,(Ceramics),(),(Ceramics),0,0,0,0
WoodenDormitory,WoodenDormitory,Wooden Dormitory,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_WoodenDormitory,"(X=500,Y=400)",0,,Wooden lodging that supports four Pages.,(),(),(),0,0,4,0
WoodenWarehouse,WoodenWarehouse,Wooden Warehouse,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_WoodenWarehouse,"(X=400,Y=400)",0,,A general-purpose warehouse for common supplies.,(),(),(),1000,2000,0,0
