Name,ResearchId,DisplayName,Description,ResearchWorkId,PrerequisiteResearchIds
BasicCrafting,BasicCrafting,Basic Crafting,"Unlocks the first practical settlement recipes.",Research_BasicCrafting,()
StoneMasonry,StoneMasonry,Stone Masonry,"Unlocks buildings that use worked stone.",Research_StoneMasonry,(BasicCrafting)
CopperProspecting,CopperProspecting,Copper Prospecting,"Unlocks construction of copper mines.",Research_CopperProspecting,(BasicCrafting)
GoldProspecting,GoldProspecting,Gold Prospecting,"Unlocks construction of gold mines.",Research_GoldProspecting,(CopperProspecting)
IronDeepMining,IronDeepMining,Iron Deep Mining,"Unlocks construction of iron mines.",Research_IronDeepMining,(CopperProspecting)
CoalDeepMining,CoalDeepMining,Coal Deep Mining,"Unlocks construction of coal mines.",Research_CoalDeepMining,(IronDeepMining)
SoilProcessing,SoilProcessing,Soil Processing,"Unlocks soil sifting and clay processing work.",Research_SoilProcessing,(BasicCrafting)
Claycraft,Claycraft,Claycraft,"Unlocks clay shaping, packed-soil construction, and early earthen buildings.",Research_Claycraft,(SoilProcessing)
EarlyToolmaking,EarlyToolmaking,Early Toolmaking,"Unlocks primitive stone and wood tools for settlement work and expeditions.",Research_EarlyToolmaking,(BasicCrafting)
Woodworking,Woodworking,Woodworking,"Unlocks lumberyard operation, sawmilling, and wooden construction.",Research_Woodworking,(BasicCrafting)
Ceramics,Ceramics,Ceramics,"Unlocks kiln work, charcoal, lime, mortar, and fired clay goods.",Research_Ceramics,(Claycraft,Woodworking)
CopperMetallurgy,CopperMetallurgy,Copper Metallurgy,"Unlocks smelting copper and gold plus their first metal building components.",Research_CopperMetallurgy,(CopperProspecting,Ceramics)
PrecisionEngineering,PrecisionEngineering,Precision Engineering,"Unlocks copper precision components, tools, locks, and field instruments.",Research_PrecisionEngineering,(CopperMetallurgy)
GoldTheory,GoldTheory,Gold Theory,"Unlocks gold-based research seals and laboratory-grade experimentation.",Research_GoldTheory,(GoldProspecting,CopperMetallurgy)
AppliedMedicine,AppliedMedicine,Applied Medicine,"Unlocks clinic infrastructure and medical supplies for recovering Pages.",Research_AppliedMedicine,(CopperMetallurgy)
PortalObservation,PortalObservation,Portal Observation,"Unlocks portal observation posts and research probes for dungeon analysis.",Research_PortalObservation,(PrecisionEngineering,GoldTheory)
Ironworking,Ironworking,Ironworking,"Unlocks iron smelting, iron components, and ironworks construction.",Research_Ironworking,(IronDeepMining,CoalDeepMining)
CoalCoking,CoalCoking,Coal Coking,"Unlocks coke processing and reliable high-temperature industrial fuel.",Research_CoalCoking,(CoalDeepMining)
Steelmaking,Steelmaking,Steelmaking,"Unlocks furnace production, steel ingots, beams, and heavy equipment.",Research_Steelmaking,(Ironworking,CoalCoking)
IndustrialCrafting,IndustrialCrafting,Industrial Crafting,"Unlocks advanced workbenches, gears, industrial storage, and mechanical equipment.",Research_IndustrialCrafting,(Steelmaking)
Fortification,Fortification,Fortification Engineering,"Unlocks reinforced defenses, prison infrastructure, and military construction.",Research_Fortification,(Steelmaking)
PetroleumExtraction,PetroleumExtraction,Petroleum Extraction,"Unlocks oil extractor construction and petroleum harvesting.",Research_PetroleumExtraction,(IndustrialCrafting)
PetroleumRefining,PetroleumRefining,Petroleum Refining,"Unlocks refined fuel, plastil, and fluid-system components.",Research_PetroleumRefining,(PetroleumExtraction)
PowerEngineering,PowerEngineering,Power Engineering,"Unlocks steam generation, batteries, and powered settlement infrastructure.",Research_PowerEngineering,(PetroleumRefining)
Automation,Automation,Automation,"Unlocks automated turret construction and powered defensive devices.",Research_Automation,(PowerEngineering,Fortification)
EidosTheory,EidosTheory,Eidos Theory,"Unlocks the foundational study of existence energy and Eidos materials.",Research_EidosTheory,(PortalObservation,PetroleumRefining)
EidosRefinement,EidosRefinement,Eidos Refinement,"Unlocks Eidos crystal processing and stable existence-energy storage.",Research_EidosRefinement,(EidosTheory)
PortalEngineering,PortalEngineering,Portal Engineering,"Unlocks portal anchors, locators, and high-tier portal infrastructure.",Research_PortalEngineering,(EidosRefinement)
AttributeEngineering,AttributeEngineering,Attribute Engineering,"Unlocks attribute analyzers and tuners for controlled portal composition work.",Research_AttributeEngineering,(PortalEngineering)
ReturnNavigation,ReturnNavigation,Return Navigation,"Unlocks calibrated return stones for reliable high-risk expeditions.",Research_ReturnNavigation,(PortalEngineering)
LibraryAuthority,LibraryAuthority,Library Authority,"Unlocks the final authority seal and highest-order existence research.",Research_LibraryAuthority,(AttributeEngineering,ReturnNavigation)
